job_name,status,start_time,end_time,duration_min,sla_limit_min,sla_breached,error_code,run_date
NAV_CALC_BATCH,SUCCESS,2024-05-20 07:14:00,2024-05-20 07:27:00,13,50,False,,2024-05-20
TRADE_SETTLE_CHK,SUCCESS,2024-10-06 02:37:00,2024-10-06 02:55:00,18,35,False,,2024-10-06
PORTF_RPT_DAILY,SUCCESS,2024-04-21 07:32:00,2024-04-21 07:56:00,24,30,False,,2024-04-21
PORTF_RPT_DAILY,SUCCESS,2024-11-28 22:34:00,2024-11-28 22:52:00,18,30,False,,2024-11-28
CLIENT_STMT_GEN,SUCCESS,2024-05-22 00:48:00,2024-05-22 01:44:00,56,60,False,,2024-05-22
INVEST_RECON_JOB,FAILED,2024-06-23 08:09:00,2024-06-23 08:16:00,7,45,False,ABEND S0C7,2024-06-23
CASH_FLOW_EXTRACT,SUCCESS,2024-02-19 11:54:00,2024-02-19 12:04:00,10,20,False,,2024-02-19
FX_RATE_LOAD,SUCCESS,2024-01-23 23:29:00,2024-01-23 23:38:00,9,10,False,,2024-01-23
CASH_FLOW_EXTRACT,LATE,2024-07-12 02:35:00,2024-07-12 03:18:00,43,20,True,,2024-07-12
COMPLIANCE_RPT,SUCCESS,2024-07-04 18:12:00,2024-07-04 19:02:00,50,55,False,,2024-07-04
CASH_FLOW_EXTRACT,SUCCESS,2024-04-26 09:05:00,2024-04-26 09:23:00,18,20,False,,2024-04-26
CLIENT_STMT_GEN,ABENDED,2024-07-13 08:29:00,2024-07-13 08:50:00,21,60,False,ABEND S0C7,2024-07-13
INVEST_RECON_JOB,SUCCESS,2024-04-17 21:17:00,2024-04-17 21:26:00,9,45,False,,2024-04-17
FX_RATE_LOAD,SUCCESS,2024-09-30 23:15:00,2024-09-30 23:21:00,6,10,False,,2024-09-30
RISK_CALC_JOB,SUCCESS,2024-11-23 22:35:00,2024-11-23 22:54:00,19,40,False,,2024-11-23
NAV_CALC_BATCH,SUCCESS,2024-01-29 07:52:00,2024-01-29 07:59:00,7,50,False,,2024-01-29
PERF_ATTR_JOB,SUCCESS,2024-05-17 02:13:00,2024-05-17 02:54:00,41,45,False,,2024-05-17
EOD_CLOSE_PROC,FAILED,2024-04-18 20:31:00,2024-04-18 20:57:00,26,70,False,ABEND S222,2024-04-18
INVEST_RECON_JOB,SUCCESS,2024-05-06 23:35:00,2024-05-07 00:14:00,39,45,False,,2024-05-06
SLA_MONITOR_BATCH,FAILED,2024-08-07 18:25:00,2024-08-07 18:28:00,3,15,False,RC=12,2024-08-07
INVEST_RECON_JOB,SUCCESS,2024-02-16 01:55:00,2024-02-16 02:07:00,12,45,False,,2024-02-16
INVEST_RECON_JOB,SUCCESS,2024-12-14 13:38:00,2024-12-14 13:47:00,9,45,False,,2024-12-14
POSITION_SYNC,SUCCESS,2024-08-27 16:16:00,2024-08-27 16:29:00,13,20,False,,2024-08-27
COMPLIANCE_RPT,LATE,2024-12-14 23:07:00,2024-12-15 00:50:00,103,55,True,,2024-12-14
EOD_CLOSE_PROC,SUCCESS,2024-05-16 20:21:00,2024-05-16 20:40:00,19,70,False,,2024-05-16
SLA_MONITOR_BATCH,SUCCESS,2024-08-20 00:46:00,2024-08-20 00:55:00,9,15,False,,2024-08-20
DIVIDEND_PROC,FAILED,2024-09-16 03:55:00,2024-09-16 04:06:00,11,30,False,ABEND S0C7,2024-09-16
COMPLIANCE_RPT,SUCCESS,2024-11-07 06:09:00,2024-11-07 06:37:00,28,55,False,,2024-11-07
PERF_ATTR_JOB,SUCCESS,2024-09-28 00:38:00,2024-09-28 01:03:00,25,45,False,,2024-09-28
RISK_CALC_JOB,SUCCESS,2024-07-04 09:15:00,2024-07-04 09:23:00,8,40,False,,2024-07-04
CLIENT_STMT_GEN,ABENDED,2024-02-10 02:46:00,2024-02-10 03:02:00,16,60,False,RC=8,2024-02-10
PERF_ATTR_JOB,SUCCESS,2024-03-05 04:42:00,2024-03-05 05:17:00,35,45,False,,2024-03-05
DIVIDEND_PROC,SUCCESS,2024-09-27 19:27:00,2024-09-27 19:38:00,11,30,False,,2024-09-27
EOD_CLOSE_PROC,SUCCESS,2024-12-19 06:45:00,2024-12-19 07:29:00,44,70,False,,2024-12-19
POSITION_SYNC,LATE,2024-11-28 11:28:00,2024-11-28 12:26:00,58,20,True,,2024-11-28
RISK_CALC_JOB,SUCCESS,2024-04-25 02:21:00,2024-04-25 02:27:00,6,40,False,,2024-04-25
FX_RATE_LOAD,SUCCESS,2024-10-28 07:00:00,2024-10-28 07:05:00,5,10,False,,2024-10-28
TRADE_SETTLE_CHK,SUCCESS,2024-04-27 02:57:00,2024-04-27 03:03:00,6,35,False,,2024-04-27
COMPLIANCE_RPT,SUCCESS,2024-09-20 07:17:00,2024-09-20 08:04:00,47,55,False,,2024-09-20
RISK_CALC_JOB,SUCCESS,2024-03-08 23:59:00,2024-03-09 00:34:00,35,40,False,,2024-03-08
CLIENT_STMT_GEN,FAILED,2024-07-27 06:06:00,2024-07-27 06:10:00,4,60,False,ABEND S222,2024-07-27
TRANS_LOG_PARSER,SUCCESS,2024-08-27 23:03:00,2024-08-27 23:11:00,8,25,False,,2024-08-27
PORTF_RPT_DAILY,SUCCESS,2024-06-22 03:15:00,2024-06-22 03:26:00,11,30,False,,2024-06-22
CLIENT_STMT_GEN,SUCCESS,2024-03-12 13:11:00,2024-03-12 13:33:00,22,60,False,,2024-03-12
RISK_CALC_JOB,SUCCESS,2024-02-08 14:51:00,2024-02-08 15:02:00,11,40,False,,2024-02-08
PORTF_RPT_DAILY,FAILED,2024-10-03 00:05:00,2024-10-03 00:20:00,15,30,False,RC=12,2024-10-03
INVEST_RECON_JOB,SUCCESS,2024-09-03 06:55:00,2024-09-03 07:25:00,30,45,False,,2024-09-03
EOD_CLOSE_PROC,SUCCESS,2024-07-13 00:24:00,2024-07-13 01:02:00,38,70,False,,2024-07-13
EOD_CLOSE_PROC,FAILED,2024-08-20 09:27:00,2024-08-20 09:59:00,32,70,False,RC=12,2024-08-20
CLIENT_STMT_GEN,SUCCESS,2024-01-30 18:47:00,2024-01-30 19:26:00,39,60,False,,2024-01-30
PORTF_RPT_DAILY,FAILED,2024-01-30 01:37:00,2024-01-30 01:45:00,8,30,False,JCL ERROR,2024-01-30
EOD_CLOSE_PROC,ABENDED,2024-03-21 01:32:00,2024-03-21 01:38:00,6,70,False,RC=12,2024-03-21
CASH_FLOW_EXTRACT,SUCCESS,2024-12-11 07:25:00,2024-12-11 07:31:00,6,20,False,,2024-12-11
EOD_CLOSE_PROC,SUCCESS,2024-10-23 19:02:00,2024-10-23 19:17:00,15,70,False,,2024-10-23
POSITION_SYNC,FAILED,2024-10-16 16:20:00,2024-10-16 16:25:00,5,20,False,RC=12,2024-10-16
NAV_CALC_BATCH,FAILED,2024-05-02 08:25:00,2024-05-02 08:30:00,5,50,False,ABEND S0C7,2024-05-02
RISK_CALC_JOB,SUCCESS,2024-02-07 00:29:00,2024-02-07 00:40:00,11,40,False,,2024-02-07
